id_template,"nama_template","isi_teks_ekspertise"
43,"Blanko Mammografi 3D (Tomosintesis)","Klinis: ...\n\nKomposisi payudara:\n- ACR Type ...\n\nPayudara kanan:\n- Pada tomosintesis tidak tampak massa / tampak massa di ...\n- Tidak tampak kalsifikasi / tampak kalsifikasi ...\n- Tidak tampak distorsi arsitektur\n\nPayudara kiri:\n- Pada tomosintesis tidak tampak massa\n- Tidak tampak kalsifikasi\n\nAksila:\n- Tidak tampak KGB aksila patologis\n\nKesan:\n- BI-RADS ... kanan, BI-RADS ... kiri\n- Rekomendasi: ..."
44,"Blanko Bone Scan (Skintigrafi Tulang)","Klinis: ...\n\nRadiofarmaka: Tc-99m MDP, waktu akuisisi 3 jam pasca injeksi\n\nTengkorak:\n- Distribusi tracer normal, tidak tampak hot spot\n\nTulang belakang:\n- Distribusi tracer normal di vertebra cervical, thorakal, lumbal, sacrum\n- Tidak tampak / tampak hot spot di ...\n\nCostae dan sternum:\n- Distribusi tracer normal\n\nPelvis:\n- Distribusi tracer normal\n- Tidak tampak hot spot\n\nEkstremitas:\n- Distribusi tracer normal bilateral\n\nKesan:\n- Tidak tampak gambaran hot spot yang mencurigakan metastasis tulang\n- / Tampak hot spot di ... sesuai gambaran metastasis tulang"
45,"Blanko Thyroid Scan","Klinis: ...\nTSH: ... | FT4: ...\n\nRadiofarmaka: Tc-99m Pertechnetate\n\nGambaran tiroid:\n- Kedua lobus tiroid tervisualisasi\n- Ukuran lobus kanan: normal / membesar\n- Ukuran lobus kiri: normal / membesar\n- Distribusi tracer: homogen / heterogen\n\nNodul (bila ada):\n- Lokasi: lobus kanan/kiri, kutub atas/bawah\n- Gambaran: cold nodule / warm nodule / hot nodule\n\nUptake tiroid:\n- Normal / meningkat / menurun\n\nJaringan ektopik:\n- Tidak tampak jaringan tiroid ektopik\n\nKesan:\n- Tiroid normal / struma difus / tiroiditis\n- Cold nodule di ... (dianjurkan FNAB)"
46,"Blanko DEXA Scan (Bone Densitometry)","Klinis: ...\nUsia: ... tahun | JK: P/W | BB: ... kg | TB: ... cm\n\nLumbar Spine (L1-L4):\n- BMD: ... g/cmÂ²\n- T-score: ...\n- Z-score: ...\n\nFemur kanan:\n- Femoral neck: BMD ... g/cmÂ², T-score: ...\n- Total hip: BMD ... g/cmÂ², T-score: ...\n\nInterpretasi T-score:\n- â‰¥ -1.0: Normal | -1.0 s/d -2.5: Osteopenia | < -2.5: Osteoporosis\n\nKesan:\n- T-score terendah: ... (lokasi: ...)\n- Interpretasi: Normal / Osteopenia / Osteoporosis\n- Rekomendasi: ..."
47,"Blanko PET/CT Scan (F-18 FDG)","Klinis: ...\nGDP saat injeksi: ... mg/dL\n\nRadiofarmaka: F-18 FDG, akuisisi 60 menit pasca injeksi (vertex s/d paha)\n\nKepala dan leher:\n- Uptake fisiologis otak normal\n- Tidak tampak / tampak lesi hipermetabolik di ...\n\nThorax:\n- Tidak tampak / tampak lesi hipermetabolik di paru/mediastinum/KGB\n\nAbdomen:\n- Hepar, lien, ginjal: uptake fisiologis\n- Tidak tampak / tampak lesi hipermetabolik abnormal di ...\n\nPelvis:\n- Tidak tampak / tampak lesi hipermetabolik di ...\n\nTulang:\n- Tidak tampak / tampak area uptake abnormal mencurigakan metastasis di ...\n\nKGB:\n- Tidak tampak KGB hipermetabolik / tampak KGB hipermetabolik di level ...\n\nSUVmax lesi primer: ... | SUVmax KGB: ...\n\nKesan:\n- Tidak tampak lesi hipermetabolik mencurigakan keganasan\n- / Tampak lesi hipermetabolik di ... SUVmax ...\n- Staging: ..."
48,"Blanko Parasentesis","Klinis: ...\n\nProsedur:\n- Informed consent telah ditandatangani\n- Lokasi: kuadran kiri bawah abdomen, panduan USG\n- Anestesi lokal lidocain 2% ... cc\n- Volume cairan yang dikeluarkan: ... cc\n- Warna cairan: jernih / keruh / hemoragik\n- Sampel dikirim untuk: analisis cairan / sitologi / kultur\n\nKomplikasi: tidak ada\n\nKesan:\n- Parasentesis berhasil, cairan ... cc dikeluarkan tanpa komplikasi bermakna"
49,"Blanko Torakosentesis","Klinis: ...\n\nProsedur:\n- Informed consent telah ditandatangani\n- Lokasi efusi: hemithorax ...\n- Lokasi penusukan: ICS ... linea ... kanan/kiri\n- Anestesi lokal lidocain 2% ... cc\n- Volume cairan yang dikeluarkan: ... cc\n- Warna cairan: jernih / keruh / hemoragik / kekuningan\n- Sampel dikirim untuk: analisis cairan / sitologi / kultur\n\nPost-prosedur:\n- Foto thorax: tidak tampak pneumothorax\n\nKomplikasi: tidak ada\n\nKesan:\n- Torakosentesis berhasil, cairan ... cc dikeluarkan tanpa komplikasi bermakna"
50,"Blanko Vertebroplasty / Kyphoplasty","Klinis: ...\nLevel target: ... (berdasarkan MRI/CT scan)\n\nProsedur:\n- Informed consent telah ditandatangani\n- Anestesi: lokal+sedasi / general\n- Posisi: prone, guidance fluoroskopi C-arm\n- Level target dikonfirmasi: ...\n- Jarum trocar transpedikuler kanan/kiri/bilateral ke corpus vertebra ...\n- Kyphoplasty: balon diinflasi (tinggi sebelum: ... mm, sesudah: ... mm)\n- Volume semen PMMA: ... cc per sisi\n- Fluoroskopi real-time: tidak tampak kebocoran semen ke canalis spinalis\n\nKomplikasi: tidak ada\n\nKesan:\n- Vertebroplasty/kyphoplasty pada ... berhasil tanpa komplikasi bermakna\n- Tidak tampak kebocoran semen ke canalis spinalis"
51,"Blanko RFA (Radiofrequency Ablation) Tumor","Klinis: ...\nTarget: massa di ... ukuran ... cm\n\nProsedur:\n- Informed consent telah ditandatangani\n- Anestesi: sedasi / general\n- Panduan: USG / CT real-time\n- Anestesi lokal lidocain 2% ... cc\n- Elektroda RFA ... cm diposisikan ke dalam target lesi\n- Ablasi: ... menit, target temperatur 80-100Â°C, ... sesi\n- Post-ablasi: zona hiperechoic/hiperdens mencakup seluruh lesi\n\nKomplikasi: tidak ada\n\nRekomendasi:\n- Kontrol CT/MRI post-prosedur 4-6 minggu\n\nKesan:\n- RFA pada massa ... berhasil, zona ablasi mencakup lesi target"
52,"Blanko Chemoembolisasi (TACE) Hati","Klinis: ...\nDiagnosis: HCC / metastasis hati\nLesi target: ... (ukuran ..., lokasi ...)\n\nProsedur:\n- Informed consent telah ditandatangani\n- Akses: arteri femoralis kanan/kiri\n- Selektif ke arteri hepatika kanan/kiri/segmental yang memperdarahi lesi\n- Gambaran tumor blush dikonfirmasi\n- Injeksi: kemoterapi (Doxorubicin ... mg / Cisplatin ... mg) + Lipiodol ... cc\n- Embolisasi dengan Gelfoam / microspheres\n- Post-embolisasi: stasis aliran di segmen target\n\nKomplikasi: tidak ada\n\nRekomendasi:\n- CT scan evaluasi respon 4-6 minggu pasca prosedur\n\nKesan:\n- TACE selektif pada lesi HCC/metastasis hati berhasil dilakukan\n- Post-embolization syndrome mungkin timbul (demam ringan, nyeri, nausea)"
